[2025-05-16 08:29:53] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:34:37] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:34:38] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:38:31] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:38:32] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:39:35] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:39:37] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:41:30] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:41:32] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:42:22] User ID: 1, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-16 08:44:32] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:44:34] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:48:58] User ID: 1, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-16 08:53:50] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:55:54] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 08:55:56] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:57:39] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:59:26] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 08:59:39] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 09:02:09] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 09:02:16] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 09:02:18] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 09:02:52] User ID: 1, IP: ::1, Event: clipboard_check_detected_code, Action: clear_clipboard
[2025-05-16 09:03:18] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 09:03:19] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 09:11:43] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 09:11:51] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 09:17:01] User ID: 1, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 09:17:03] User ID: 1, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 09:41:09] User ID: 7, IP: ::1, Event: page_load, Action: clear_clipboard
[2025-05-16 09:41:17] User ID: 7, IP: ::1, Event: enter_fullscreen, Action: clear_clipboard
[2025-05-16 09:42:51] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
[2025-05-16 09:47:23] User ID: 7, IP: ::1, Event: window_focus, Action: clear_clipboard
